NORAD_CAT_ID,RCS
4903,1.7682
4906,0.0102
4907,0.004
4908,0.0953
4910,0.051
4911,0.0524
4912,0.0089
4913,0.052
4914,0.0572
4916,0.0538
4917,0.05
4918,0.0518
4919,0.0128
4920,0.079
4921,0.052
4923,13.8963
4924,0.93
4925,1.24
4926,0.9393
4927,0.1486
4928,0.124
4929,0.0609
4930,0.0643
4931,0.0497
4932,0.047
4933,0.0991
4934,0.0121
4935,0.0143
4936,0.0249
4937,0.02
4938,0.0134
4939,0.0188
4940,0.0816
4941,0.056
4942,0.0368
4943,0.0367
4944,0.0241
4945,0.0551
4946,0.0499
4947,0.005
4948,0.072
4950,0.0545
4951,0.0193
4952,0.6731
4953,0.831
4955,5.2478
4956,17.3828
4957,0.2684
4958,0.2294
4963,0.2323
4966,13.0021
4968,0.058
4969,0.0584
4970,0.0064
4971,0.0492
4973,0.0397
4975,0.0316
4976,0.07
4977,0.0187
4978,0.0298
4979,0.0181
4980,0.0253
4981,0.036
4982,0.0166
4983,0.0907
4985,0.0471
4986,0.031
4987,0.0542
4988,0.028
4989,0.0356
4990,0.0164
4991,0.041
4992,0.0676
4993,0.0156
4994,0.06
4995,0.0539
4996,0.0498
4997,0.0124
4998,0.059
4999,0.0255
5000,0.0726
5007,0.8998
5009,0.0618
5010,0.0329
5011,0.0184
5012,0.028
5013,0.0826
5014,0.0852
5015,0.1227
5016,0.0626
5017,0.3254
5018,0.1126
5019,0.052
5020,0.0472
5021,0.0244
5023,0.0577
5024,0.0132
5025,0.0148
5026,0.034
5027,0.1166
5028,0.043
5029,0.0626
5030,0.0317
5031,0.1061
