NORAD_CAT_ID,RCS,SOURCE
5210,0.75,15
5211,0.72,16
5212,0.72,18
5213,0.69,18
5214,0.72,16
5215,0.69,14
5216,0.7,17
5217,0.69,17
5218,6.23,47
5220,0.024,11
5222,0.023,14
5225,0.009,9
5238,2.8,47
5239,4.34,33
5240,0.035,25
5265,0.07,9
5272,0.045,21
5277,0.016,12
5280,0.028,22
5300,0.01,15
5301,0.009,14
5322,0.012,14
5337,0.032,13
5347,0.028,23
5349,0.018,12
5358,0.012,12
5359,0.008,12
5360,0.04,13
5361,0.009,10
5384,0.32,20
5387,0.09,12
5388,0.023,13
5389,0.021,17
5390,0.013,12
5392,0.023,16
5395,1.53,32
5397,2.3,28
5398,0.94,12
5414,0.012,12
5416,0.015,13
5422,0.009,18
5426,0.039,16
5430,0.009,15
5435,1.27,27
5438,0.74,17
5443,0.013,16
5446,0.011,15
5447,0.048,11
5457,0.032,15
5485,0.82,15
5498,0.86,15
5502,0.013,11
5507,0.013,17
5515,0.09,5
5519,0.014,11
5527,0.017,15
5529,0.014,12
5531,0.012,15
5547,0.69,16
5548,0.73,17
5549,0.74,15
5550,0.85,12
5551,0.73,15
5552,0.7,18
5553,0.72,15
5554,0.74,16
5555,6.64,50
5556,1.23,23
5557,1.28,39
5560,9.02,49
5580,0.92,13
5581,0.78,19
5587,2.59,9
5588,2,5
5589,2.64,5
5595,0.015,14
5597,0.014,14
5599,0.008,3
5614,3.11,47
5615,4.44,30
5632,0.11,11
5635,0.024,20
5683,3.86,56
5685,4.87,51
5690,0.007,10
5691,0.017,16
5692,0.02,17
5694,0.017,13
5696,0.01,6
5698,0.021,13
5702,0.19,8
5705,2.53,46
5707,4.09,47
5709,2.34,6
5715,0.012,13
5716,0.007,7
5720,0.01,9
5721,2.75,51
5729,2.14,20
5730,5.69,56
5731,3.99,50
5732,7.19,57
5736,0.06,8
5745,0.014,16
5746,0.013,13
5748,0.011,11
5755,0.035,19
5758,0.015,11
5763,0.023,12
5775,1.56,4
5778,0.007,17
5785,0.01,9
5786,0.009,10
5794,0.007,13
5808,0.005,11
5816,14,33
5824,0.012,13
5826,0.009,9
5842,0.023,18
5846,2.22,30
5847,4.81,44
5858,0.013,12
5871,0.009,12
5876,0.08,7
5903,1.36,36
5904,1.17,20
5905,3.13,53
5907,5,49
5917,4.51,48
5918,6.67,57
5922,0.018,9
5957,0.008,11
5958,0.045,21
5967,0.11,10
5971,0.025,9
5975,1.82,23
5977,1.95,27
5986,0.13,9
5987,0.3,15
5991,0.22,13
5992,0.05,9
5998,0.11,2
6014,0.042,16
6019,1.79,24
6020,4.37,35
6052,4.44,2
6058,16.4,35
6059,2.24,30
6061,4.68,50
6063,0.013,13
6065,0.006,16
6073,0.72,21
6079,4.31,56
6080,7.05,54
6117,0.67,12
6118,0.69,15
6119,0.71,17
6120,0.7,15
6121,0.68,14
6122,0.72,17
6123,0.74,13
